Title,Popularity,Type,Mid,2016-05-01,2016-05-08,2016-05-15,2016-05-22,2016-05-29,2016-06-05,2016-06-12,2016-06-19,2016-06-26,2016-07-03,2016-07-10,2016-07-17,2016-07-24,2016-07-31,2016-08-07,2016-08-14,2016-08-21,2016-08-28,Average Search Popularity
League of Legends,173717,Online game,/m/04n3w2r,0.53,0.573170732,0.64,0.711864407,0.839285714,0.979166667,1.044444444,1.046511628,1.095238095,1.05,1.102564103,1.108108108,1.194444444,1.075,0.893617021,0.977777778,0.94,0.777777778,0.92105394
World of Warcraft,67658,Online game,/m/021dvx,1.051282051,1.25,1.5,2,2.409090909,3.157894737,3.611111111,3.588235294,3.352941176,3.4375,3.333333333,4.4,4.428571429,3.9375,3.833333333,3.833333333,3.55,4.761904762,3.190890637
Call of Duty: Black Ops III,53223,Video game,/m/0134qybc,0.41,0.463414634,0.48,0.508474576,0.5,0.5625,0.777777778,0.744186047,0.738095238,0.7,0.820512821,0.72972973,0.805555556,0.65,0.574468085,0.6,0.48,0.444444444,0.610508828
Hearthstone: Heroes of Warcraft,38258,Online game,/m/0rysk0k,0.22,0.231707317,0.213333333,0.237288136,0.267857143,0.291666667,0.288888889,0.279069767,0.261904762,0.3,0.333333333,0.297297297,0.361111111,0.45,0.382978723,0.355555556,0.32,0.277777778,0.298320545
Counter-Strike: Global Offensive,28040,Video game,/m/0h3pv2z,0.5,0.597560976,0.68,0.847457627,0.892857143,1.020833333,1.111111111,1.186046512,1.285714286,1.625,1.435897436,1.27027027,1.194444444,1.05,0.829787234,0.955555556,0.88,0.777777778,1.007795206
Dota 2,23661,Online game,/m/0dlkwn1,0.714285714,0.942028986,1.158730159,1.244897959,1.404255319,1.853658537,1.815789474,1.810810811,1.857142857,1.606060606,1.65625,1.677419355,1.935483871,2.176470588,2.564102564,1.947368421,1.571428571,1.4,1.629787988
Overwatch,22284,Video game,/m/0128442n,1,1.017241379,0.641509434,2.380952381,2.275,2.117647059,1.875,1.806451613,1.933333333,1.821428571,1.925925926,1.666666667,1.346153846,1.5,1.060606061,1.375,1.138888889,0.973684211,1.547527187
Destiny,17588,Video game,/m/0h3mtz0,0.13,0.134146341,0.16,0.169491525,0.178571429,0.291666667,0.311111111,0.302325581,0.285714286,0.325,0.282051282,0.324324324,0.333333333,0.325,0.255319149,0.311111111,0.28,0.240740741,0.257772604
Battlefield 1,13710,Video game,/g/11b7tw1spj,0.36,0.048780488,0.026666667,0.016949153,0.017857143,0.020833333,0.022222222,0.023255814,0.023809524,0.025,0.025641026,0.027027027,0,0,0,0,0,0,0.0354468
H1Z1: King of the Kill,12874,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Street Fighter V,12173,Video game,/m/012dvc8l,0.07,0.073170732,0.08,0.101694915,0.125,0.125,0.133333333,0.139534884,0.285714286,0.25,0.205128205,0.27027027,0.222222222,0.15,0.106382979,0.133333333,0.1,0.092592593,0.147965431
Gaming Talk Shows,9210,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minecraft,8905,Video game,/m/09v6kpg,1.380952381,1.653846154,1.829787234,2.243243243,2.514285714,2.866666667,3.344827586,3.703703704,3.846153846,3.92,3.833333333,3.75,4.086956522,3.6,2.965517241,3.142857143,2.625,2.441176471,2.986017069
ARK,8196,,,0.12,0.146341463,0.24,0.271186441,0.267857143,0.25,0.311111111,0.348837209,0.357142857,0.4,0.333333333,0.297297297,0.333333333,0.325,0.234042553,0.222222222,0.18,0.277777778,0.273082375
Magic: The Gathering,7286,Card game,/m/04rhz,0.43,0.5,0.586666667,0.796610169,0.732142857,0.833333333,0.866666667,1.046511628,1.19047619,1.25,1.076923077,1.162162162,1.222222222,1.075,0.872340426,0.977777778,0.8,0.814814815,0.901869333
Tom Clancy's Rainbow Six: Siege,6535,Video game,/m/010vvkbz,0.13,0.231707317,0.2,0.203389831,0.232142857,0.270833333,0.266666667,0.325581395,0.333333333,0.3,0.358974359,0.324324324,0.666666667,0.75,0.382978723,0.355555556,0.32,0.240740741,0.327383061
Poker,6861,Card game,/m/05r1j,0.49,0.609756098,0.666666667,0.86440678,0.946428571,0.979166667,1.111111111,1.11627907,1.19047619,1.35,1.435897436,1.486486486,1.444444444,1.425,1.063829787,1.133333333,1.06,0.981481481,1.075264673
Super Smash Bros. for Wii U,5423,Video game,/m/0gx1mcc,0.07,0.085365854,0.12,0.152542373,0.142857143,0.166666667,0.177777778,0.186046512,0.19047619,0.175,0.205128205,0.216216216,0.25,0.2,0.170212766,0.177777778,0.16,0.148148148,0.166345313
Call of Duty: Black Ops II,5372,Video game,/m/0j24v_k,0.13,0.134146341,0.16,0.203389831,0.214285714,0.25,0.288888889,0.279069767,0.30952381,0.35,0.307692308,0.324324324,0.361111111,0.3,0.234042553,0.244444444,0.22,0.203703704,0.250812378
Path of Exile,4799,Online game,/m/0h3n4wc,0.04,0.048780488,0.053333333,0.06779661,0.107142857,0.166666667,0.155555556,0.139534884,0.142857143,0.15,0.128205128,0.135135135,0.138888889,0.1,0.063829787,0.088888889,0.08,0.111111111,0.10654036
Creative,4951,,,0.03,0.036585366,0.04,0.050847458,0.053571429,0.0625,0.066666667,0.069767442,0.071428571,0.075,0.076923077,0.081081081,0.083333333,0.075,0.063829787,0.066666667,0.06,0.055555556,0.062153135
